alt_id,alt_description,alt_hit,alt_que_id
1,4,1,1
2,sunday,1,2
3,3,0,3
4,1,1,4
5,132,1,5
6,R,1,6
7,1,0,7
8,sunday,1,8
9,3,0,9
10,1,1,10
11,140,0,11
12,R,1,12
13,4,1,13
14,tuesday,0,14
15,2,0,15
16,4,0,16
17,128,0,17
18,R,1,18
19,1,0,19
20,sunday,1,20
21,3,0,21
22,1,1,22
23,140,0,23
24,R,1,24
25,4,1,25
26,sunday,1,26
27,4,1,27
28,1,1,28
29,140,0,29
30,R,1,30
31,1,0,31
32,sunday,1,32
33,3,0,33
34,1,1,34
35,140,0,35
36,R,1,36
37,3,0,37
38,tuesday,0,38
39,3,0,39
40,2,0,40
41,93,0,41
42,R,1,42
43,1,0,43
44,sunday,1,44
45,4,1,45
46,1,1,46
47,140,0,47
48,R,1,48
49,2,0,49
50,tuesday,0,50
51,3,0,51
52,1,1,52
53,140,0,53
54,Q,0,54
55,1,0,55
56,sunday,1,56
57,2,0,57
58,1,1,58
59,128,0,59
60,Q,0,60
61,2,0,61
62,sunday,1,62
63,2,0,63
64,2,0,64
65,140,0,65
66,R,1,66
67,1,0,67
68,tuesday,0,68
69,4,1,69
70,2,0,70
71,140,0,71
72,R,1,72
73,2,0,73
74,tuesday,0,74
75,3,0,75
76,1,1,76
77,140,0,77
78,R,1,78
