alt_id,alt_description,alt_hit,alt_que_id
1,4,1,1
2,sunday,1,2
3,4,1,3
4,1,1,4
5,132,1,5
6,R,1,6
7,4,1,7
8,sunday,1,8
9,3,0,9
10,1,1,10
11,128,0,11
12,R,1,12
13,1,0,13
14,wednesday,0,14
15,3,0,15
16,4,0,16
17,128,0,17
18,R,1,18
19,1,0,19
20,sunday,1,20
21,3,0,21
22,1,1,22
23,140,0,23
24,R,1,24
25,4,1,25
26,wednesday,0,26
27,2,0,27
28,1,1,28
29,128,0,29
30,R,1,30
31,3,0,31
32,monday,0,32
33,3,0,33
34,1,1,34
35,140,0,35
36,Q,0,36
37,1,0,37
38,tuesday,0,38
39,3,0,39
40,1,1,40
41,140,0,41
42,R,1,42
43,1,0,43
44,monday,0,44
45,2,0,45
46,1,1,46
47,140,0,47
48,R,1,48
49,2,0,49
50,tuesday,0,50
51,3,0,51
52,4,0,52
53,128,0,53
54,R,1,54
55,4,1,55
56,tuesday,0,56
57,2,0,57
58,1,1,58
59,132,1,59
60,R,1,60
